id,movie,type
1,一天,0
2,爱在黎明破晓前,0
3,黄金三嫖客,0
4,新桥恋人,0
5,千与千寻,0
6,伴我同行,0
7,盗梦空间,0
8,春光乍泄,0
9,肖申克的救赎,0
10,爱疯狂,0
11,年轻气盛,0
12,两小无猜,0
13,窃听风暴,0
14,侠女,0
15,驯龙高手,0
16,白日梦想家,0
17,乱世佳人,0
18,星球大战7：原力觉醒,0
19,天生一对,0
20,史崔特先生的故事,0
21,这个男人来自地球,0
22,阿拉伯的劳伦斯,0
23,天鹅绒金矿,0
24,情书,0
25,面纱,0
26,穿普拉达的女王,0
27,钢铁巨人,0
28,二十四城记,0
29,甜蜜蜜,0
30,不一样的天空,0
31,赎罪,0
32,魂断蓝桥,0
33,指环王2：双塔奇兵,0
34,初吻,0
35,鬼子来了,0
36,阿甘正传,0
37,天下无贼,0
38,大地惊雷,0
39,曼哈顿,0
40,卡萨布兰卡,0
41,小猪宝贝,0
42,我的邻居山田君,0
43,浓情巧克力,0
44,喜剧之王,0
45,她,0
46,疯狂的麦克斯4：狂暴之路,0
47,欢乐好声音,0
48,灿烂人生,0
49,雨中曲,0
50,还珠格格第二部,0
51,十二怒汉,0
52,万箭穿心,0
53,布达佩斯大饭店,0
54,明亮的星,0
55,天才一族,0
56,天堂电影院,0
57,请以你的名字呼唤我,0
58,素媛,0
59,闰年,0
60,四百击,0
61,老无所依,0
62,少年派的奇幻漂流,0
63,帕特森,0
64,小小的白色谎言,0
65,唐伯虎点秋香,0
66,发条橙,0
67,三块广告牌,0
68,王牌特工：特工学院,0
69,碧海蓝天,0
70,春天情书,0
71,怦然心动,0
72,小鬼当街,0
73,万物理论,0
74,2046,0
75,巴黎，我爱你,0
76,暗恋桃花源,0
77,这个杀手不太冷,0
78,曾经,0
79,幸福终点站,0
80,春天不是读书天,0
81,水形物语,0
82,罗生门,0
83,指环王1：魔戒再现,0
84,科学睡眠,0
85,推拿,0
86,八恶人,0
87,奇遇,0
88,让子弹飞,0
89,至爱梵高·星空之谜,0
90,黑客帝国,0
91,霸王别姬,0
92,关于一个男孩,0
93,活着,0
94,青蛇,0
95,入殓师,0
96,冰峰168小时,0
97,登堂入室,0
98,童年往事,0
99,玛丽和马克思,0
100,心如折纸,0
101,教父,0
102,香水,0
103,罗马假日,0
104,葬礼上的死亡,0
105,完美陌生人,0
106,城市之光,0
107,诺丁山,0
108,爱的那点性事,0
109,荒野生存,0
110,醉乡民谣,0
111,小男孩,0
112,银翼杀手2049,0
113,罗密欧与朱丽叶,0
114,阿凡达,0
115,爆裂鼓手,0
116,切腹,0
117,永恒和一日,0
118,附注：我爱你,0
119,跳出我天地,0
120,穿条纹睡衣的男孩,0
121,了不起的狐狸爸爸,0
122,重庆森林,0
123,华盛顿邮报,0
124,我的1919,0
125,魅影缝将,0
126,美国往事,0
127,青春派,0
128,奇幻人生,0
129,英雄本色,0
130,芙蓉镇,0
131,骄傲,0
132,房间,0
133,老炮儿,0
134,社交网络,0
135,贝利叶一家,0
136,朱诺,0
137,米尔克,0
138,故宫,0
139,卧虎藏龙,0
140,女朋友·男朋友,0
141,食神,0
142,分手信,0
143,潜水钟与蝴蝶,0
144,我不在那儿,0
145,异形,0
146,大河恋,0
147,朱莉与朱莉娅,0
148,李米的猜想,0
149,飞屋环游记,0
150,德州巴黎,0
151,穆赫兰道,0
152,两小无猜,0
153,泰坦尼克号,0
154,海街日记,0
155,西雅图未眠夜,0
156,菊次郎的夏天,0
157,谜一样的双眼,0
158,高三,0
159,功夫,0
160,死亡诗社,0
161,毕业生,0
162,亚当,0
163,小王子,0
164,忠犬八公的故事,0
